Ticker,Fiscal Year,Avg_Shares_Outstanding,Avg_Stock_Price,Market_Capitalization
AOSL,2021,25827500.0,53.504762195405505,1381894245.6018357
AOSL,2022,26860500.0,30.8709526970273,829209224.9185017
AOSL,2023,27512500.0,24.30349998474121,668650043.3301926
AOSL,2024,28311500.0,43.418999671936035,1229257009.212017
APCX,2020,86332741.0,0.808857140086946,69830853.98112702
APCX,2021,10630808.5,1.2585714431036086,13379631.995203108
APCX,2022,14320940.0,1.3950952263105483,19979075.03027978
APCX,2023,19474511.0,1.5244999945163726,29688891.91270904
APCX,2024,27765338.0,0.5284000024199486,14671204.66639069
APH,2020,298600000.0,31.378176916213263,9369523627.18128
APH,2021,598900000.0,40.50011843726749,24255520932.0795
APH,2022,596950000.0,38.17410532633463,22788032174.555458
APH,2023,596850000.0,47.60481910705566,28412936284.046173
APH,2024,1203550000.0,72.27391395568847,86985269141.36887
APLD,2022,49674429.5,1.7376190480731784,86315234.90136822
APLD,2023,96863518.5,6.398000049591064,619732796.166565
APLD,2024,117488386.0,9.071749997138976,1065825265.359363
APP,2021,300726880.5,91.00047556559245,27366289140.85709
APP,2022,374481521.5,10.67999994187128,3999462627.8518686
APP,2023,356880197.5,39.324499702453615,14034135220.400337
APP,2024,339964225.5,343.6240005493164,116819867209.95993
APPN,2024,74000000.0,36.98500003814697,2736890002.822876
APPS,2021,88628315.5,55.72999954223633,4939255982.244177
APPS,2022,93556774.0,15.745714460100446,1473118249.2121494
APPS,2023,98311035.0,6.470499968528747,636121548.8735286
APPS,2024,100788650.5,1.5900000095367433,160253955.2561955
ASAN,2022,174889000.0,14.235714322044736,2489669842.068082
ASAN,2023,201295500.0,20.009499931335448,4027822293.4281344
ASAN,2024,219510500.0,21.71549997329712,4766780256.888437
ASGN,2020,52900000.0,83.3019049508231,4406670771.898542
ASGN,2021,52350000.0,122.82095264253162,6429676870.836531
ASGN,2022,50650000.0,83.32666633242653,4220495649.7374034
ASGN,2023,48100000.0,93.5944995880127,4501895430.183411
ASGN,2024,45250000.0,87.18300018310546,3945030758.285522
ASNS,2022,9715132.5,5.046190511612665,49024409.440559834
ASNS,2023,2372865.5,1.180400002002716,2800930.4409521758
ASNS,2024,5315452.0,1.1514999926090241,6120742.938713622
ASTC,2020,6812766.5,55.81428509666806,380249691.72802943
ASTC,2021,28650460.0,21.49999981834775,615984884.7955794
ASTC,2022,50009211.0,10.095714160374232,504878699.64184284
ASTC,2023,1683662.0,8.177999997138977,13768987.831183005
ASTC,2024,1691729.0,7.058499956130982,11941069.07228551
ASTI,2020,11430872561.5,,
ASTI,2021,4223316.0,,
ASTI,2022,19393808.0,49714.28571428572,964149312000.0
ASTI,2023,1921584.5,87.97000045776367,169041789.34463158
ASTI,2024,846946.0,2.7230000138282775,2306233.9697118043
ASUR,2020,17342000.0,7.501904782794771,130098032.74322692
ASUR,2021,19817500.0,8.172857171013241,161965596.98655492
ASUR,2023,22621000.0,8.395000076293945,189903296.72584534
ASUR,2024,25834500.0,9.34000005722046,241294231.47826195
ASYS,2020,14165984.5,6.405238083430699,90736503.40868898
ASYS,2021,14183832.0,9.339047704424177,132463483.67953818
ASYS,2022,14149323.0,8.235238052549816,116523043.18741831
ASYS,2023,14090065.5,5.294500017166138,74599852.03162201
ASYS,2024,14222428.0,5.611499953269958,79809154.05738534
ATCH,2023,5031250.0,453.81000061035155,2283231565.5708313
ATEN,2020,76963000.0,8.414181913648333,647580682.6201167
ATEN,2021,76884500.0,14.830467087881905,1140233046.8182564
ATEN,2022,75466500.0,17.129652522859118,1292714922.1163476
ATEN,2024,74359000.0,18.374507236480714,1366309983.5974693
ATOM,2020,19746000.0,12.179523922148205,240496879.36673844
ATOM,2021,22791000.0,20.753333137148903,472989215.5287607
ATOM,2022,23590000.0,6.927142847151983,163411299.76431528
ATOM,2023,25040000.0,7.201500058174133,180325561.4566803
ATOM,2024,28323500.0,8.482999992370605,240268250.2839088
AUID,2020,553698738.5,,
AUID,2021,21468212.5,122.06095195951916,2620430454.619249
AUID,2022,24306559.5,6.41523806254069,155932365.67381
AUID,2023,6315004.5,9.064000034332276,57239201.00480848
AUID,2024,10185564.5,6.067650008201599,61802440.52196292
AUR,2021,1123977430.0,12.109047753470284,13610296373.692802
AUR,2022,1137666666.6666667,1.2471428655442738,1418832866.7008688
AUR,2023,1273000000.0,3.534000015258789,4498782019.424438
AUR,2024,1631000000.0,7.09449999332428,11571129489.1119
AUUD,2020,478049.5,,
AUUD,2021,6450924.5,838.4642857142857,5408869803.089286
AUUD,2022,12535678.5,456.8952375139509,5727491805.656028
AUUD,2023,680180.0,118.93624916076661,80898057.95417023
AUUD,2024,3807794.5,9.302400016784668,35421627.62071257
AVDX,2021,123429862.0,16.936666534060524,2090490413.0391088
AVDX,2022,198119421.0,9.110476221357073,1804962274.0095313
AVDX,2023,201759011.0,11.686000061035156,2357755814.8603926
AVDX,2024,204209942.0,10.951500129699706,2236405206.2989693
AVGO,2020,402500000.0,37.84099524361746,15231000585.556028
AVGO,2021,410000000.0,57.666339147658576,23643199050.540016
AVGO,2022,415500000.0,52.5799191792806,21846956418.99109
